,precinct,G20PRERTRU_x,G20PREDBID_x,G20PRELJOR_x,G20PREIWES_x,G20PREISIM_x,G20PREIPIE_x,G20USSRINH_x,G20USSDBRO_x,G20USSLMUR_x,G20USSIFAR_x,G20USSINES_x,G20COCRHIE_x,G20COCLHAG_x,FIPS County,unique_ID,STATEFP,COUNTYFP,COUNTY_NAM,PCT_CEB,GEOID,G20PRERTRU_y,G20PREDBID_y,G20PRELJOR_y,G20PREIWES_y,G20PREISIM_y,G20PREIPIE_y,G20USSRINH_y,G20USSDBRO_y,G20USSLMUR_y,G20USSIFAR_y,G20USSINES_y,G20COCRHIE_y,G20COCLHAG_y,geometry,_merge
1255,559999,35432,64978,1558,287,276,169,36215,63659,1435,889,534,50989,36556,109,559999,,,,,,,,,,,,,,,,,,,,left_only
1861,729999,26759,45406,1153,167,210,122,26868,44743,1088,711,455,38653,25536,143,729999,,,,,,,,,,,,,,,,,,,,left_only
