precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
80811,5,75,2,268,0,266,3,5,78,1,2,45,286
80812,0,57,0,201,1,198,5,2,53,0,3,28,218
81009,3,53,1,239,0,228,2,2,48,1,4,41,236
81010,1,73,2,358,0,349,2,5,75,0,7,42,371
81011,2,54,0,277,0,267,1,1,50,1,6,39,274
81013,1,66,0,264,0,246,2,2,56,0,6,34,272
81111,4,120,3,818,0,787,6,7,110,2,22,85,829
81213,2,43,0,284,1,269,4,3,38,0,9,33,287
90100,5,189,1,669,2,628,7,11,177,7,26,154,672
90102,2,48,1,148,0,151,3,4,51,0,0,43,153
90106,6,356,2,719,0,656,18,25,325,5,23,225,784
90107,3,90,1,287,0,286,4,3,98,0,8,69,302
90109,0,45,0,113,0,107,2,1,39,1,2,33,117
90114,2,179,1,571,2,552,11,8,167,2,9,131,579
90116,10,409,2,640,3,610,24,15,396,10,26,325,669
90124,15,401,3,912,0,851,22,16,380,5,29,256,974
90200,34,1714,10,3109,9,3004,82,51,1678,21,105,1119,3495
90201,7,225,3,984,2,939,21,19,210,1,23,158,1005
90202,5,98,0,494,3,476,7,8,92,1,11,74,508
90204,13,426,6,959,7,908,31,22,402,6,33,306,1019
90206,6,555,3,1139,6,1083,34,23,520,7,35,354,1242
90208,19,433,6,961,6,895,30,26,406,7,36,345,995
90209,0,23,0,28,0,29,0,1,24,0,0,17,33
90210,5,200,0,586,2,586,13,6,206,5,18,137,642
90211,10,334,4,859,5,822,21,20,322,5,26,218,919
